"Package","Version"
"multtest","2.46.0"
"munsell","0.5.1"
"mutoss","0.1-14"
"mvtnorm","1.3-3"
"nabor","0.5.0"
"nanoarrow","0.8.0"
"ncdf4","1.24"
"network","1.20.0"
"nichenetr","2.0.5"
"nleqslv","3.3.6"
"nlme","3.1-168"
"nloptr","2.2.0"
"nnet","7.3-20"
"nnls","1.6"
"nonnest2","0.5-8"
"nor1mix","1.3-3"
"nortest","1.0-4"
"npsurv","0.5-0"
"numDeriv","2016.8-1.1"
"nycflights13","1.0.2"
"oaqc","2.0.0"
"officer","0.7.3"
"oncoPredict","0.2"
"opdisDownsampling","1.0.1"
"openssl","2.3.5"
"openxlsx","4.2.8.1"
"operator.tools","1.6.3.1"
"optimx","2025-4.9"
"ordinal","2025.12-29"
"org.Hs.eg.db","3.15.0"
"org.Mm.eg.db","3.12.0"
"orthopolynom","1.0-6.1"
"otel","0.2.0"
"pROC","1.19.0.1"
"paletteer","1.6.0"
"palmerpenguins","0.1.1"
"pals","1.8"
"pan","1.9"
"pander","0.6.6"
"panelr","1.0.0"
"parallel","4.0.5"
"parallelMap","1.5.1"
"parallelly","1.46.1"
"parameters","0.28.3"
"partitions","1.10-9"
"party","1.3-19"
"patchwork","1.3.0"
"pbapply","1.7-4"
"pbivnorm","0.6.0"
"pbkrtest","0.5.1"
"pbmcapply","1.5.1"
"pcaMethods","1.82.0"
"pcaPP","2.0-5"
"performance","0.16.0"
"permute","0.9-10"
"pgirmess","2.0.3"
"pheatmap","1.0.13"
"phylolm","2.6.5"
"phyr","1.1.3"
"pillar","1.11.1"
"pingr","2.0.5"
"pkgKitten","0.2.4"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgdown","2.1.1"
"pkgload","1.5.0"
"pkgmaker","0.32.10"
"plogr","0.2.0"
"plot3D","1.4.2"
"plotly","4.12.0"
"plotlyGeoAssets","0.0.2"
"plotmo","3.7.0"
"plotrix","3.8-14"
"pls","2.9-0"
"plyr","1.8.9"
"png","0.1-8"
"polyclip","1.10-7"
"polynom","1.4-1"
"pool","1.0.4"
"posterior","1.6.1"
"poweRlaw","1.0.0"
"prabclus","2.3-5"
"pracma","2.4.6"
"praise","1.0.0"
"prediction","0.3.18"
"preprocessCore","1.52.1"
"presto","1.0.0"
"prettydoc","0.4.1"
"prettyunits","1.2.0"
"princurve","2.1.6"
"prismatic","1.1.2"
"processx","3.8.6"
"prodlim","2024.06.25"
